@relation vowel_insig_0.95_clustered

@attribute Instance_number numeric
@attribute attr_1 numeric
@attribute attr_2 numeric
@attribute attr_3 numeric
@attribute attr_4 numeric
@attribute attr_5 numeric
@attribute attr_6 numeric
@attribute attr_7 numeric
@attribute attr_8 numeric
@attribute attr_9 numeric
@attribute attr_10 numeric
@attribute attr_11 numeric
@attribute attr_12 numeric
@attribute Classes {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
175,-0.114319,0.039926,0.414587,0.164531,0.115766,0.441583,0.022572,-0.35355,-0.840987,0.799093,-0.606335,-0.431389,class10,cluster5
176,-0.09066,0.019674,-0.184869,0.031575,0.296857,0.099116,0.832145,-0.58489,-0.596663,-0.796369,-2.513774,-2.483642,class0,cluster7
177,-0.032018,0.326779,0.279776,-0.315815,-0.377289,-0.033977,0.981053,-0.576523,-0.085433,0.130055,-2.335356,-1.705722,class1,cluster7
178,-0.044443,0.503545,0.148625,-0.153521,-0.327414,0.182035,0.592526,-0.749772,0.015206,0.280821,-1.733038,-1.453063,class2,cluster5
179,-0.077455,0.537844,-0.113327,0.140105,-0.152229,0.364773,0.328232,-0.864401,0.411171,0.804652,-0.912349,-0.668742,class3,cluster5
180,-0.05981,0.492288,-0.069835,-0.033281,-0.194478,0.72696,0.606106,-0.667866,0.145936,1.454014,0.343777,-0.27314,class4,cluster5
181,-0.069405,0.527459,-0.19895,0.071514,-0.048335,0.578918,0.698573,-0.756862,0.177667,1.01279,-0.462365,-0.463144,class5,cluster5
182,-0.017412,0.423946,-0.13698,-0.435332,-0.196121,0.669442,0.884714,-0.707921,0.090766,1.51366,0.666778,-0.124522,class6,cluster5
183,-0.043064,0.235484,-0.264404,-0.4134,0.460166,0.385264,0.540378,-0.895702,-0.509905,1.418372,0.862733,1.588514,class7,cluster5
184,-0.095607,0.282373,0.303241,0.007744,0.424206,0.252956,-0.329586,-0.426664,-1.255929,0.803556,0.368765,0.287919,class8,cluster5
185,-0.016194,0.488806,-0.151042,-0.604787,0.387421,-0.469007,-1.105953,-0.587484,-0.560981,0.391349,1.581982,0.81853,class9,cluster6
186,-0.120431,0.054146,0.377333,0.234219,0.130644,0.380148,0.197194,-0.342026,-0.846282,0.77402,-0.745317,-0.279805,class10,cluster5
187,-0.072027,0.032505,-0.109158,-0.126395,0.291507,0.139487,0.933558,-0.592318,-0.545048,-0.655515,-2.776968,-2.419823,class0,cluster7
188,-0.019846,0.407627,0.325879,-0.398968,-0.388633,0.077185,0.915948,-0.527336,-0.393921,0.008698,-2.075246,-1.835232,class1,cluster7
189,-0.04333,0.577722,0.163305,-0.149785,-0.368019,0.139977,0.61211,-0.787051,-0.217953,0.138695,-1.495261,-1.648535,class2,cluster5
190,-0.079644,0.530397,-0.117708,0.148735,-0.122832,0.380179,0.318242,-0.880912,0.324221,0.732741,-0.921684,-0.748651,class3,cluster5
191,-0.06497,0.456003,-0.080693,-0.009001,-0.15163,0.761867,0.467351,-0.642378,0.061469,1.324283,0.395613,-0.438818,class4,cluster5
192,-0.064804,0.533101,-0.23877,0.004441,0.053121,0.356772,0.50021,-0.818522,0.269625,0.875927,-0.559676,-0.564128,class5,cluster5
193,-0.011467,0.454111,-0.173195,-0.450337,-0.229493,0.631755,0.931414,-0.678247,0.236865,1.485575,0.494113,-0.012666,class6,cluster5
194,-0.043489,0.232153,-0.27636,-0.398437,0.46263,0.482057,0.108446,-0.829952,-0.337438,1.395224,0.964758,1.652802,class7,cluster5
195,-0.072996,0.242116,0.394053,-0.162153,0.202131,0.241539,0.119375,-0.347697,-1.298485,0.765538,0.112216,0.093233,class8,cluster5
196,0.005516,0.422801,-0.178261,-0.813246,0.440712,-0.568813,-1.035564,-0.517429,-0.460192,0.36762,1.417543,0.879529,class9,cluster6
197,-0.103589,0.07213,0.261659,0.117264,0.124529,0.529736,0.306092,-0.394401,-0.76889,0.755522,-0.682765,-0.283095,class10,cluster5
198,-0.103706,0.132761,0.461255,-0.753644,0.080325,-0.29694,0.038218,0.356233,-0.106572,0.063077,-2.080275,-2.107576,class0,cluster7
199,-0.146847,-0.000002,0.386526,-0.340547,-0.186196,-0.37775,-0.115762,0.541005,0.351724,0.180029,-1.792844,-1.321797,class1,cluster8
200,-0.117664,0.210815,-0.338693,-0.332254,-0.27066,0.559237,-0.636862,0.475578,0.72174,-0.55302,-1.126785,-0.890792,class2,cluster8
201,-0.184473,0.182438,-0.233772,0.245447,-0.448789,0.220144,-0.949994,0.586662,1.06378,-0.11538,-0.637481,-0.003328,class3,cluster8
202,-0.198855,0.044811,-0.131446,0.290084,-0.264204,0.4364,0.089148,0.685108,0.519476,0.704121,-0.35559,1.171887,class4,cluster8
203,-0.175234,0.171913,-0.123424,0.075843,-0.128636,0.237542,-0.34283,0.666633,0.613457,0.589359,-0.213945,0.439653,class5,cluster8
204,-0.209444,-0.016655,0.387204,0.158519,-0.433593,0.050471,-0.04094,0.408435,0.183363,1.739299,1.241628,0.573243,class6,cluster3
205,-0.197131,-0.004238,0.301045,-0.03425,-0.594913,0.030336,0.57979,-0.264941,-0.128174,1.912457,2.180046,-0.219659,class7,cluster3
206,-0.178708,-0.138247,0.297205,-0.173496,-0.314375,-0.703067,0.529174,0.369594,-0.021472,1.037634,0.359511,0.497855,class8,cluster3
207,-0.126998,-0.036317,0.394327,-0.66212,-0.297961,-1.173996,0.226174,0.281273,-0.393189,0.370018,0.386672,-0.536194,class9,cluster3
208,-0.185111,-0.101351,0.235874,-0.047057,-0.286374,-0.348028,0.047765,0.621308,0.450589,0.884008,-0.02317,-0.700461,class10,cluster3
209,-0.098523,0.129037,0.473459,-0.801786,0.077847,-0.273744,0.055133,0.338308,-0.11339,0.056454,-2.143545,-2.174432,class0,cluster7
210,-0.153368,0.039808,0.416547,-0.282883,-0.133602,-0.444357,-0.10475,0.55246,0.473476,0.365248,-1.873418,-1.356318,class1,cluster8
211,-0.144672,0.233036,-0.117125,-0.123421,-0.306704,0.415046,-0.594407,0.537054,0.569297,-0.336741,-1.181224,-0.95985,class2,cluster8
212,-0.18175,0.182016,-0.191033,0.192438,-0.355556,0.457948,-0.995726,0.446907,0.892753,-0.041315,-0.733959,-0.002848,class3,cluster8
213,-0.214053,0.014243,-0.117593,0.37482,-0.135257,0.298985,0.238618,0.797618,0.509184,0.958149,-0.092077,0.883888,class4,cluster8
214,-0.18948,0.220632,0.004252,0.193848,-0.056485,0.186179,-0.396077,0.816924,0.510742,0.768432,-0.182824,0.370209,class5,cluster8
215,-0.211648,-0.011741,0.327916,0.151262,-0.410231,-0.025369,0.002739,0.30176,0.211419,1.792198,1.552862,0.233876,class6,cluster3
216,-0.202305,-0.017803,0.19261,-0.026784,-0.443347,-0.022209,0.481551,-0.369572,-0.05011,1.918356,2.310178,-0.382197,class7,cluster3
217,-0.163086,-0.026082,0.245183,-0.294832,-0.323548,-0.801879,0.561659,0.256166,0.193314,1.252875,0.740754,0.045227,class8,cluster3
218,-0.128483,-0.022377,0.41094,-0.621152,-0.347916,-1.083623,0.213913,0.370012,-0.55442,0.255427,0.439622,-0.357018,class9,cluster3
219,-0.188705,-0.033589,0.205999,-0.007775,-0.189018,-0.456699,0.099284,0.600875,0.442417,0.923959,-0.056649,-0.602512,class10,cluster3
220,-0.09925,0.122021,0.428018,-0.793332,0.077609,-0.226748,0.131528,0.330953,-0.265801,-0.082067,-2.044622,-2.232518,class0,cluster7
221,-0.157276,0.066885,0.410416,-0.245401,-0.100415,-0.505557,-0.159056,0.563978,0.503882,0.356793,-1.884873,-1.403612,class1,cluster8
222,-0.149459,0.199823,-0.114549,-0.108123,-0.311802,0.421351,-0.368799,0.414121,0.507719,-0.275076,-1.247353,-1.028621,class2,cluster8
223,-0.164586,0.158812,-0.243673,0.078244,-0.425023,0.514175,-0.952841,0.59654,0.995343,-0.119248,-0.692463,-0.026674,class3,cluster8
224,-0.210587,-0.034154,-0.178109,0.295206,-0.04896,0.172724,0.33167,0.842652,0.712681,1.243355,0.352515,0.401099,class4,cluster3
225,-0.193806,0.148246,0.040764,0.190455,-0.004505,0.240485,-0.08136,0.866473,0.425081,0.982775,-0.152673,0.157769,class5,cluster8
226,-0.20685,0.020087,0.316513,0.12011,-0.633046,-0.091198,-0.149076,0.127139,0.378686,1.697123,1.884915,-0.347425,class6,cluster3
227,-0.210171,-0.05028,0.145963,0.027998,-0.333676,0.021486,0.309476,-0.30563,-0.023369,1.87207,2.298654,-0.352316,class7,cluster3
228,-0.166386,0.031683,0.110059,-0.272115,-0.170881,-0.860562,0.623871,0.192803,0.212928,1.236335,0.934683,-0.359072,class8,cluster3
229,-0.140284,-0.010982,0.403338,-0.500644,-0.376394,-0.953023,0.141919,0.440328,-0.799077,0.122813,0.702392,-0.221861,class9,cluster3
230,-0.197218,-0.015244,0.144108,0.04105,-0.038489,-0.591725,0.109825,0.562633,0.413262,0.925134,0.001639,-0.645286,class10,cluster3
231,-0.102841,0.143507,0.378748,-0.759718,0.121947,-0.219012,0.198541,0.346291,-0.428191,-0.178052,-1.867233,-2.330841,class0,cluster7
232,-0.152002,0.059357,0.422338,-0.29755,-0.093356,-0.50122,-0.153964,0.573007,0.447359,0.335423,-1.869306,-1.401409,class1,cluster8
233,-0.14944,0.125137,-0.151824,-0.15004,-0.312658,0.33198,-0.215007,0.314487,0.527306,-0.266773,-1.215294,-1.113969,class2,cluster8
234,-0.158058,0.076282,-0.238849,0.019279,-0.500831,0.562101,-0.996327,0.713089,1.021529,-0.211579,-0.669412,-0.036674,class3,cluster8
235,-0.204981,-0.061374,-0.226077,0.219769,0.00589,0.157403,0.312795,0.840136,0.860372,1.380273,0.577167,0.08389,class4,cluster3
236,-0.181718,0.120532,0.12639,0.062496,0.027301,0.274341,-0.324178,0.956488,0.516717,1.103973,-0.138117,0.054825,class5,cluster8
237,-0.205588,0.053773,0.297338,0.124304,-0.787742,-0.177794,-0.239514,-0.001949,0.501011,1.540553,1.982539,-0.831526,class6,cluster3
238,-0.205202,-0.124175,0.294198,-0.022493,-0.6112,0.027491,0.348005,-0.327766,-0.014942,1.901816,2.317702,-0.378367,class7,cluster3
239,-0.174653,0.051931,0.062232,-0.213734,0.035008,-0.964153,0.688395,0.2391,0.103322,1.151721,0.715339,-0.329259,class8,cluster3
240,-0.159087,-0.068479,0.40075,-0.353718,-0.384018,-0.825121,0.058932,0.491966,-0.995906,0.052442,0.955216,-0.124391,class9,cluster3
241,-0.200769,-0.028387,0.153385,0.073799,-0.066989,-0.563795,0.096752,0.59593,0.295532,0.829557,0.062775,-0.612784,class10,cluster3
242,-0.10575,0.171992,0.328103,-0.734222,0.202815,-0.237448,0.209611,0.359993,-0.530485,-0.232519,-1.738936,-2.34299,class0,cluster7
243,-0.151275,0.019369,0.435468,-0.327287,-0.084829,-0.51094,-0.155863,0.57341,0.413653,0.335592,-1.825974,-1.469187,class1,cluster8
244,-0.154313,0.134585,-0.169585,-0.113157,-0.272103,0.285715,-0.149403,0.346818,0.396884,-0.320331,-1.092977,-1.18078,class2,cluster8
245,-0.216382,-0.02721,0.024335,0.348315,-0.292934,0.29888,-1.000304,0.498091,0.709326,0.205461,-0.663295,-0.258783,class3,cluster8
246,-0.200896,-0.074454,-0.307919,0.180098,0.100348,0.114401,0.376371,0.859939,0.883497,1.333282,0.529776,0.16411,class4,cluster3
247,-0.177724,0.087747,0.203267,-0.005541,-0.03073,0.177589,-0.319595,0.956754,0.538744,1.190787,0.011084,-0.311729,class5,cluster8
248,-0.195836,0.07964,0.203007,0.03074,-0.659722,-0.248731,-0.265384,-0.057941,0.593758,1.452905,1.89461,-1.155559,class6,cluster3
249,-0.207362,-0.154185,0.282289,-0.038101,-0.465261,0.004032,0.325201,-0.303161,-0.004001,1.977741,2.257873,-0.424438,class7,cluster3
250,-0.178739,0.035273,-0.014237,-0.210273,0.221582,-1.001046,0.726976,0.223886,0.047883,1.106014,0.655401,-0.474104,class8,cluster3
251,-0.16953,-0.103135,0.37682,-0.285835,-0.312751,-0.856874,0.111109,0.515019,-1.062306,0.062834,1.005189,-0.076266,class9,cluster3
252,-0.196217,0.038579,0.115529,0.082417,-0.088987,-0.519043,0.155662,0.666736,0.208199,0.718098,0.110314,-0.541281,class10,cluster3
253,-0.106045,0.205413,0.312999,-0.727158,0.243965,-0.253116,0.238989,0.369823,-0.642467,-0.278843,-1.659071,-2.356374,class0,cluster7
254,-0.151556,-0.026268,0.428983,-0.345666,-0.058917,-0.489013,-0.138453,0.592976,0.380557,0.335747,-1.783736,-1.5257,class1,cluster8
255,-0.147087,0.123161,-0.146775,-0.181732,-0.213223,0.341415,-0.133933,0.402836,0.324089,-0.318011,-1.200255,-1.128571,class2,cluster8
256,-0.228833,-0.168451,0.07489,0.394494,-0.388241,0.387819,-0.451765,0.335932,0.458041,0.296372,-0.730894,-0.368965,class3,cluster8
257,-0.19114,-0.094738,-0.342855,0.090539,0.115563,0.17959,0.379286,0.840593,0.886323,1.317883,0.567559,0.179585,class4,cluster3
258,-0.178257,0.064184,0.21366,-0.030043,-0.04479,0.050572,-0.135507,0.927701,0.417074,1.126097,0.104261,-0.700989,class5,cluster8
259,-0.179085,0.081939,0.177794,-0.140546,-0.332995,-0.207475,-0.247785,0.083292,0.572336,1.575738,1.60481,-1.085454,class6,cluster3
260,-0.204711,-0.141169,0.200101,-0.087347,-0.245216,-0.00858,0.326489,-0.321023,0.013227,2.03622,2.241802,-0.545859,class7,cluster3
261,-0.199446,0.009266,-0.132278,-0.048853,0.473938,-0.915859,0.753561,0.320977,-0.238281,0.833136,0.548297,-0.625913,class8,cluster3
262,-0.17214,-0.081833,0.380833,-0.229036,-0.349842,-0.707422,0.068661,0.57397,-1.192329,-0.029644,1.001719,0.199786,class9,cluster3
263,-0.192931,0.091807,0.118832,0.083956,-0.112357,-0.469925,0.103965,0.687292,0.101568,0.607932,0.128395,-0.44901,class10,cluster3
264,0.085063,0.063595,0.407014,0.398184,0.106846,-0.72444,0.217601,0.230182,0.070449,-0.955282,1.196841,-3.363406,class0,cluster1
265,0.091576,0.030227,0.204631,0.524885,-0.401825,0.437889,-0.249434,0.133575,0.577281,-0.800508,1.612332,-1.852709,class1,cluster1
266,0.141621,-0.022833,0.133121,0.030447,-0.009641,0.645863,-0.281491,0.101081,1.183574,-0.03941,1.31452,-1.593845,class2,cluster1
267,0.141204,-0.027879,-0.111054,0.136625,0.192049,0.158666,0.032166,0.394327,2.129307,-0.155877,-0.35599,-0.852921,class3,cluster0
268,0.148114,-0.006322,-0.06342,-0.020478,0.697924,-0.323931,-0.031178,0.441364,1.236017,-0.437773,-0.396771,0.782103,class4,cluster0
269,0.218594,0.155487,-0.403716,-0.535682,0.649931,-0.367121,0.06761,0.190053,1.699613,-0.788486,-0.439079,0.165616,class5,cluster0
270,0.130648,-0.085087,0.170669,0.178565,0.667913,0.718327,0.685471,1.324941,0.436226,0.54491,0.955946,1.232433,class6,cluster4
271,0.208362,-0.00521,0.107392,-0.463297,0.328632,0.656726,0.787397,0.460123,0.451834,0.214512,0.510494,2.626275,class7,cluster4
272,0.128726,0.131309,0.298997,0.313403,0.029829,0.066045,-0.058339,0.86339,-0.222568,-1.381052,0.227717,1.311575,class8,cluster4
273,0.137418,0.427675,0.028115,0.463144,-0.275592,0.936309,0.452752,0.794179,-0.309004,-1.237794,1.145444,1.075273,class9,cluster4
274,0.189717,-0.153716,0.038073,-0.309382,0.264962,-0.008326,0.499286,1.052366,0.8828,-0.886849,-0.178845,-0.405186,class10,cluster4
275,0.090143,0.081097,0.530174,0.353484,-0.046335,-0.859641,0.116631,0.204151,0.067043,-0.898771,1.326952,-3.197086,class0,cluster1
276,0.076883,0.065319,0.243051,0.684433,-0.418126,0.322186,-0.241262,0.4065,0.638414,-0.606516,1.883094,-1.623757,class1,cluster1
277,0.137869,0.000976,0.141575,0.088209,-0.15132,0.532666,-0.426328,0.081416,1.245964,-0.180122,1.395031,-1.520088,class2,cluster1
278,0.138353,-0.021852,-0.076659,0.119248,0.305135,0.185025,-0.016566,0.262777,2.00462,-0.089142,-0.385511,-0.897643,class3,cluster0
279,0.129696,-0.01964,0.006,0.115111,0.674651,-0.304778,-0.081407,0.352689,0.980878,-0.570909,-0.432109,0.749618,class4,cluster0
280,0.19885,0.097184,-0.176084,-0.394019,0.570944,-0.28886,-0.162766,0.305622,1.523107,-0.776012,-0.572536,0.045878,class5,cluster0
281,0.14354,0.015482,0.179827,0.119346,0.681273,0.685895,0.876609,1.380821,0.43338,0.551663,0.689458,1.333521,class6,cluster4
282,0.173467,0.058928,0.202744,-0.183366,0.263288,0.25202,0.547989,0.285921,0.471833,0.215203,0.586972,2.829758,class7,cluster4
283,0.151482,0.143647,0.159106,0.146877,0.003895,0.241825,-0.007082,0.729436,-0.145098,-1.521978,0.188836,1.352128,class8,cluster4
284,0.162181,0.4754,0.037909,0.262033,-0.1374,0.935656,0.254671,0.97818,-0.334361,-1.328755,1.061662,0.97707,class9,cluster4
285,0.183967,-0.215633,-0.035565,-0.292971,0.300065,0.025414,0.522037,0.913302,0.889254,-0.936416,-0.169509,-0.434477,class10,cluster4
286,0.080726,0.031479,0.620862,0.408298,-0.132183,-0.783969,-0.042747,0.20956,-0.006247,-0.746463,1.679097,-2.990295,class0,cluster1
287,0.071971,0.112723,0.264516,0.746949,-0.281998,0.277798,-0.24888,0.658505,0.603241,-0.594272,1.770881,-1.783049,class1,cluster1
288,0.13682,0.041696,0.028435,0.060833,0.091485,0.587343,-0.494377,-0.128664,1.201015,-0.139897,1.439686,-1.56746,class2,cluster1
289,0.151019,-0.042864,-0.08691,0.037756,0.237285,0.192951,0.061555,0.503786,2.061911,-0.048949,-0.150304,-0.919464,class3,cluster0
290,0.109567,0.013203,0.066925,0.293055,0.582019,-0.42654,-0.256606,0.246235,0.844797,-0.807029,-0.519564,0.791992,class4,cluster0
291,0.170708,0.010155,-0.122997,-0.209071,0.446734,-0.280485,-0.163554,0.055758,1.297426,-0.920239,-0.470102,-0.166207,class5,cluster0
292,0.138334,0.119211,0.138453,0.213019,0.527402,0.510993,0.956641,1.202341,0.528185,0.508873,0.764901,1.580151,class6,cluster4
293,0.169451,0.115296,0.262414,-0.175848,0.413433,-0.012672,0.337302,0.255748,0.253386,-0.035276,0.337356,2.861292,class7,cluster4
294,0.151807,0.100493,0.191716,0.084126,0.241441,0.240306,-0.02507,0.854345,-0.150892,-1.218293,0.301918,1.26701,class8,cluster4
295,0.144395,0.22035,0.120795,0.329545,-0.112927,0.77448,0.290709,1.302065,-0.438525,-1.437404,0.984205,0.838693,class9,cluster4
296,0.176528,-0.24416,-0.07039,-0.240577,0.277771,0.026196,0.442755,0.835514,0.884538,-0.999428,-0.072569,-0.333509,class10,cluster4
297,0.072084,-0.009393,0.597408,0.473562,-0.104333,-0.794839,-0.008858,0.273847,-0.028485,-0.727946,1.754756,-2.84324,class0,cluster1
298,0.069487,0.099177,0.231429,0.771339,-0.156244,0.268356,-0.208642,0.837216,0.581912,-0.663144,1.61729,-1.935794,class1,cluster1
299,0.149721,-0.031083,0.102618,-0.086053,0.079524,0.730302,-0.329557,-0.083828,1.079131,0.087484,1.62646,-1.499311,class2,cluster1
300,0.154311,0.066098,-0.174677,0.060538,0.314714,0.2255,-0.112755,0.524339,2.141809,-0.174487,-0.212057,-0.940262,class3,cluster0
301,0.088973,-0.003871,-0.079342,0.415473,0.80453,-0.469828,0.128804,0.030683,0.742094,-0.6537,-0.418847,0.709709,class4,cluster0
302,0.157372,-0.036037,-0.171144,-0.082724,0.307682,-0.13607,0.022254,0.047366,0.987338,-1.186711,-0.195341,-0.32952,class5,cluster0
303,0.133728,0.018766,-0.031574,0.245436,0.402244,0.428462,1.086578,0.961201,0.63023,0.251683,0.713673,2.002645,class6,cluster4
304,0.176761,0.148951,0.231295,-0.241526,0.502704,0.117972,0.284827,0.255038,0.134082,0.003763,0.569894,2.834316,class7,cluster4
305,0.142366,0.086823,0.203899,0.169572,0.208554,0.230581,-0.080829,0.944686,-0.083154,-1.131154,0.474012,1.268058,class8,cluster4
306,0.130578,0.234623,0.211012,0.448619,-0.214449,0.673832,0.269066,1.244855,-0.546155,-1.438374,1.002331,1.134251,class9,cluster4
307,0.183238,-0.181687,-0.219085,-0.281541,0.423591,0.15782,0.411951,0.75562,0.963369,-0.976044,0.018293,-0.381891,class10,cluster4
308,0.065415,-0.042027,0.577832,0.54824,-0.2799,-0.948802,0.021148,0.279006,0.013406,-0.841855,1.914086,-2.540162,class0,cluster1
309,0.08417,-0.034194,0.095214,0.632048,-0.246419,0.395747,-0.078862,0.803794,0.702525,-0.655354,1.892066,-1.622488,class1,cluster1
310,0.164223,-0.043508,0.145466,-0.192462,0.143771,0.767977,-0.318767,0.25366,0.987692,0.307918,1.901739,-0.718694,class2,cluster1
311,0.156723,0.133057,-0.224178,0.021971,0.513145,0.360895,-0.209863,0.348459,2.036699,-0.134612,-0.250409,-0.940483,class3,cluster0
312,0.107763,0.016981,-0.267162,0.278832,0.937867,-0.340451,0.271186,0.105087,0.83079,-0.63055,-0.232066,0.651552,class4,cluster0
313,0.132532,-0.018975,-0.192417,0.126704,0.408267,-0.033588,0.194925,0.139544,0.676345,-1.182124,0.068521,-0.556648,class5,cluster0
314,0.129524,0.039893,-0.157636,0.25472,0.39264,0.142739,0.459255,0.37379,0.651112,-0.512431,0.169297,2.452069,class6,cluster4
315,0.152691,0.051526,0.252667,-0.075899,0.433225,0.139501,0.31127,0.194152,0.193783,0.169651,0.774259,2.78322,class7,cluster4
316,0.11914,0.050217,0.174248,0.376314,0.126489,0.280343,-0.166322,0.952557,-0.00965,-1.103343,0.688143,1.363221,class8,cluster4
317,0.148759,0.455831,0.237378,0.385831,-0.294738,0.628455,0.256024,1.197031,-0.55578,-1.429384,0.986692,1.529725,class9,cluster4
318,0.181865,-0.139266,-0.252584,-0.244363,0.371274,0.148121,0.49302,0.691328,1.062017,-0.961919,-0.012859,-0.469359,class10,cluster4
319,0.062741,-0.063685,0.577804,0.571471,-0.354266,-1.017686,0.012274,0.267132,0.096477,-0.843682,1.962349,-2.50607,class0,cluster1
320,0.144674,-0.136766,-0.091081,0.03719,-0.204284,0.651086,-0.092027,0.316242,0.852636,-0.546034,2.178794,-1.29194,class1,cluster1
321,0.151169,-0.057001,0.1046,-0.063133,0.066972,0.830467,-0.349112,0.23676,0.860001,0.011328,1.889464,-0.923844,class2,cluster1
322,0.158409,0.049551,-0.197753,0.008833,0.336547,0.417166,-0.02351,0.387463,1.999486,-0.140783,-0.14357,-0.862272,class3,cluster0
323,0.128975,0.022891,-0.13349,0.156964,0.714852,-0.274649,0.146377,0.355857,0.891257,-0.729371,-0.386016,0.719488,class4,cluster0
324,0.123828,-0.001486,-0.161874,0.13067,0.657652,-0.037691,0.045205,0.096622,0.428392,-1.005817,0.438823,-0.669468,class5,cluster0
325,0.1185,0.038229,-0.109503,0.287993,0.672417,0.228114,0.018226,0.397677,0.429513,-0.644058,0.090758,2.003395,class6,cluster0
326,0.161176,-0.122677,0.248553,-0.195452,0.408919,0.30216,0.367338,0.310745,0.257068,0.245193,0.868895,2.607728,class7,cluster4
327,0.136148,0.079973,0.078721,0.227695,0.242828,0.455709,-0.116891,0.802964,-0.115627,-1.257127,0.537365,1.141789,class8,cluster4
328,0.121188,0.493845,0.410496,0.623868,-0.274406,0.392675,0.292569,1.479911,-0.628574,-1.149661,1.118271,1.664947,class9,cluster4
329,0.172337,-0.109626,-0.237822,-0.136781,0.45098,0.411222,0.315389,0.864912,1.124537,-0.770884,0.082858,-0.533774,class10,cluster4
330,0.037313,0.213721,-0.273849,-0.063229,0.863281,-0.693043,-0.680226,0.095558,0.393597,-1.885846,0.559215,-2.227296,class0,cluster1
331,-0.05442,0.000892,0.178173,0.731468,-0.281984,0.237571,0.14719,-0.557807,-0.382455,-1.326616,1.422085,-1.27891,class1,cluster1
332,0.013837,0.013686,0.324397,0.092023,-0.136588,0.233104,0.05839,-0.856305,0.445442,-0.704982,0.268502,-1.555414,class2,cluster1
333,0.008802,-0.229122,0.07085,0.02306,0.418432,-0.082851,-0.597529,-0.637547,1.333941,-0.334645,0.012307,-0.49577,class3,cluster0
334,-0.000788,-0.222468,0.352023,0.126694,0.84583,0.222573,-0.04081,0.134041,0.472086,0.058525,-0.543116,0.916095,class4,cluster0
335,-0.001297,-0.196621,0.442987,0.17181,0.355022,0.075014,-0.151524,-0.112026,0.664872,-0.227699,-0.537532,0.323527,class5,cluster0
336,0.037137,-0.021271,0.257475,-0.073331,0.840887,0.412277,-0.410225,0.304572,0.216165,-0.440561,-0.401171,1.417292,class6,cluster0
337,0.081335,0.214676,0.335412,-0.534686,0.86214,0.305716,-0.430763,-0.443347,-0.066546,0.280382,0.956535,1.988257,class7,cluster6
338,0.057877,0.173661,0.955901,-0.259897,0.314865,0.83521,0.238512,-0.282293,-1.375107,-0.701232,-0.841035,0.988213,class8,cluster4
339,0.048814,-0.004245,0.252015,-0.145171,0.389116,0.943195,-1.038346,-0.147289,-0.859094,-1.622882,0.41804,1.619517,class9,cluster6
340,0.014075,0.145749,0.657723,0.128745,0.618542,0.771437,0.019372,0.123976,-0.532915,-0.345462,-0.457967,-0.187033,class10,cluster0
341,0.020702,0.19233,-0.200229,0.093521,0.559323,-0.829358,-0.761092,-0.107597,0.46038,-2.082899,0.408521,-2.100168,class0,cluster1
342,-0.041192,0.255361,0.118459,0.688288,-0.005566,0.233685,0.23283,-0.554748,-0.562914,-1.494228,0.963078,-1.490014,class1,cluster1
343,0.01152,0.118133,0.179381,0.169151,-0.038454,0.209442,0.199101,-0.779885,0.41613,-0.833236,0.305737,-1.574586,class2,cluster1
344,-0.01722,-0.3209,0.159656,0.202299,0.440976,-0.035128,-0.571722,-0.565181,1.188636,-0.236767,0.026628,-0.521158,class3,cluster0
345,0.01487,-0.203678,0.277835,-0.020849,1.012265,0.295648,-0.090418,0.156781,0.56498,0.201416,-0.406929,0.796893,class4,cluster0
346,-0.011988,-0.16665,0.555804,0.274368,0.334224,-0.023929,-0.136492,0.069785,0.670795,-0.084665,-0.524264,0.182264,class5,cluster0
347,0.029582,0.063572,0.163939,0.021971,0.871088,0.390033,-0.426132,0.138922,0.148193,-0.696356,-0.567166,1.405507,class6,cluster0
348,0.076887,0.145746,0.376388,-0.573812,1.010757,0.371101,-0.431129,-0.501972,-0.130538,0.521662,1.092426,1.748383,class7,cluster6
349,0.051001,0.035765,1.09579,-0.233264,0.24188,0.750581,0.347264,0.178502,-1.269231,-0.249687,-0.315329,0.96998,class8,cluster4
350,0.055433,0.018973,0.243658,-0.197606,0.485325,0.996998,-1.149903,-0.071315,-0.84295,-1.57018,0.428953,1.703494,class9,cluster6
351,0.025326,0.102147,0.659679,-0.004727,0.660833,0.743216,0.119425,0.074569,-0.495206,-0.222856,-0.435059,-0.25671,class10,cluster0
352,0.023612,0.192627,-0.423365,0.088979,0.712059,-0.718053,-0.544439,-0.005187,0.534148,-2.03336,0.696441,-2.156038,class0,cluster1
353,-0.018477,0.40459,0.005013,0.542892,0.195524,0.133188,0.615753,-0.462075,-0.608061,-1.501947,0.788041,-1.66031,class1,cluster1
354,0.009419,0.122907,0.054405,0.204702,-0.064613,0.231651,0.267049,-0.820917,0.416749,-0.911297,0.586878,-1.495837,class2,cluster1
355,-0.02448,-0.385191,0.197586,0.256087,0.346236,0.002694,-0.54024,-0.550375,1.082217,-0.329096,0.023497,-0.454147,class3,cluster0
356,0.012375,-0.147483,0.196071,0.023211,1.057111,0.218699,-0.244122,0.096315,0.632765,0.023348,-0.499226,0.860235,class4,cluster0
