@relation waveform-5000_insig_0.95_clustered

@attribute Instance_number numeric
@attribute attr_1 numeric
@attribute attr_2 numeric
@attribute attr_3 numeric
@attribute attr_4 numeric
@attribute attr_5 numeric
@attribute attr_6 numeric
@attribute attr_7 numeric
@attribute attr_8 numeric
@attribute attr_9 numeric
@attribute attr_10 numeric
@attribute attr_11 numeric
@attribute attr_12 numeric
@attribute attr_13 numeric
@attribute attr_14 numeric
@attribute attr_15 numeric
@attribute attr_16 numeric
@attribute attr_17 numeric
@attribute attr_18 numeric
@attribute attr_19 numeric
@attribute attr_20 numeric
@attribute attr_21 numeric
@attribute attr_22 numeric
@attribute attr_23 numeric
@attribute attr_24 numeric
@attribute attr_25 numeric
@attribute attr_26 numeric
@attribute attr_27 numeric
@attribute attr_28 numeric
@attribute attr_29 numeric
@attribute attr_30 numeric
@attribute attr_31 numeric
@attribute attr_32 numeric
@attribute attr_33 numeric
@attribute attr_34 numeric
@attribute attr_35 numeric
@attribute attr_36 numeric
@attribute attr_37 numeric
@attribute attr_38 numeric
@attribute attr_39 numeric
@attribute Classes {class0,class1,class2}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
1499,-1.136674,-0.419922,0.116254,1.41387,1.598453,0.35909,0.48304,0.923493,0.879584,0.659395,0.735107,0.639099,-0.620007,1.527289,-1.534068,0.399285,-0.288254,0.748342,0.36885,-0.217154,-0.024303,1.229084,0.016249,0.187166,0.97975,1.27541,-0.506337,0.907592,1.215404,0.437555,-1.255729,1.699626,-0.623992,-0.313068,-0.904351,1.045443,0.649637,1.786919,-0.736341,class2,cluster1
1500,-1.959691,-1.524416,-0.399262,0.079533,1.81523,-0.487549,1.843275,-0.346966,-0.317437,-0.030869,-0.394363,0.608058,-0.633653,0.346464,0.501877,-0.554453,-0.372313,-1.117758,-1.573531,0.30207,1.223473,1.647558,-0.375047,-0.663089,-0.47898,1.153068,0.232198,0.227691,1.101445,0.264671,-1.384563,-1.176634,0.774276,-1.793124,-1.620118,0.809874,0.955141,-0.26846,-3.245277,class2,cluster0
1501,-1.403662,-0.000051,0.840209,-0.553445,-0.773623,-2.179787,-0.137945,-0.264904,0.238038,-1.063043,1.248838,-0.764101,1.180331,0.25521,0.726123,1.60959,-0.585971,-0.055609,-0.346857,0.918532,1.143008,-1.151084,-0.894131,0.329667,0.761137,0.750555,0.828253,0.315233,2.433952,1.30542,-0.278069,0.060804,0.797328,0.513933,-0.810858,0.60254,1.962833,-0.092942,2.205354,class0,cluster1
1502,-0.278053,-2.290008,-0.259311,0.207487,-1.386676,0.034563,-0.883206,-0.681806,-0.6682,0.453637,0.098267,-0.818126,0.20638,0.08126,1.088976,1.60763,-0.751624,0.71856,0.738955,0.932925,1.298685,0.311669,0.018241,0.567476,0.327497,-0.33114,-0.627814,-1.218045,0.662817,2.39856,2.059513,0.04852,0.343567,-1.204734,-0.582452,-0.090002,-0.495851,-3.305054,0.811501,class1,cluster1
1503,0.466131,1.057519,0.622189,1.099825,-0.360148,1.281048,0.380577,-1.710673,0.350884,0.691964,0.045129,0.071031,-0.720533,-0.346421,1.244352,0.329486,0.300704,0.411208,-0.995243,-1.474236,-0.669552,0.391323,-0.792785,-0.17449,-0.466457,0.569416,-1.718134,0.992525,-0.442375,0.202236,1.010803,-0.072039,0.964232,0.41941,-1.339969,1.172814,-1.061678,-1.17847,3.850261,class0,cluster2
1504,-1.232522,1.66205,-1.392777,0.239537,-0.829551,0.709832,-0.068052,0.177814,0.246391,1.485704,1.552895,-0.946151,-0.733444,0.466898,-0.596567,0.177756,1.201821,1.580783,1.232644,0.956771,-0.030008,-0.749814,0.66974,1.604715,1.597008,0.395069,1.45123,0.482162,0.282219,-0.784368,0.122415,-0.01141,-1.55937,-0.559272,1.235141,-1.113867,-2.20771,1.164938,2.195144,class2,cluster1
1505,2.392202,-0.868409,1.001396,-2.285025,-3.511096,0.884291,-1.193681,1.342919,-1.654709,-0.846235,-2.434637,-0.789579,0.222075,0.69585,-0.051861,-1.302074,0.11147,-1.063114,0.373243,-0.760557,0.081519,1.785248,-0.831242,0.691198,0.555148,0.897192,0.621255,-0.358643,0.350179,-0.21606,0.018342,-0.188465,-3.167079,-0.96931,0.432947,1.161773,-1.175847,-0.211466,-0.982961,class2,cluster2
1506,-0.770424,-0.424107,-1.658563,-0.545867,0.952562,0.241389,0.433092,-0.164613,-0.144586,-0.499381,-2.162509,-0.810052,0.487355,-1.663604,-0.096682,0.553637,-0.003611,-1.065498,0.381747,-2.205437,-0.362585,-0.123673,0.170464,-0.473284,-0.348816,-0.146932,0.627795,0.722676,-0.775105,-0.918199,0.36553,-1.54079,-0.716608,1.639317,-1.498672,-0.350815,-0.016367,-0.320846,-3.2197,class1,cluster0
1507,-1.447528,-0.338656,-1.192521,0.623395,-0.441188,-0.224535,0.179713,-0.381691,-0.027337,1.008332,-0.538338,-0.243632,0.084222,-1.843426,-1.040922,0.28701,0.112077,-1.412257,1.499378,-0.420581,-1.039472,-0.343515,0.467586,-0.887131,0.850268,1.894069,-0.158157,1.468975,0.742226,0.92317,-0.110929,0.033617,-0.737646,1.795247,-1.729006,1.086197,-0.09761,-0.490802,-1.038287,class1,cluster0
1508,-0.039244,-0.550594,-0.124663,-1.286785,1.81434,0.583884,-1.182935,-0.109732,-0.484367,-0.67489,-0.949752,0.724565,1.129912,0.313865,-0.635848,0.383936,1.188958,-0.658746,2.006249,2.249595,-0.633852,-1.809784,0.44709,1.073273,1.1394,0.892705,1.122257,-0.252245,0.512435,-1.727072,0.295741,-0.969382,-0.220909,-0.388122,0.14125,0.861308,-2.380949,-0.851145,2.144172,class0,cluster2
1509,1.261769,-0.154421,0.015628,1.135696,0.572905,-0.532367,0.298619,-0.248466,-0.313527,0.281263,0.0137,0.873295,-0.920087,1.309336,0.702594,0.002834,-0.284254,-0.92522,0.521709,0.78525,-0.187751,0.059692,0.053296,1.301869,-0.913567,1.402573,1.225535,-0.852759,-0.271875,-0.575705,-0.390848,-0.586896,0.252785,-0.317723,-0.634794,0.336946,-2.458254,-0.085732,-1.414452,class1,cluster0
1510,-0.107821,-1.05277,-0.280821,-0.268848,-0.308479,0.997428,0.264563,-1.025724,-0.093214,-0.820846,-1.703515,0.731497,0.592524,1.312397,-1.438318,-0.612816,-0.546787,0.744981,-0.477697,-0.191328,1.631991,0.930856,2.231636,-0.527797,-0.385213,0.341183,1.674845,-1.714489,1.777081,2.024093,0.580618,0.031526,-0.19775,0.240152,0.670231,2.198087,0.511275,-1.154734,3.315373,class0,cluster2
1511,0.3898,0.238637,-1.881079,-0.142944,0.349612,0.559559,0.655439,2.364928,-1.237282,-0.686767,1.739824,0.755007,-1.60923,-1.290423,-1.318242,0.68142,-0.935449,0.206694,1.626028,-0.249415,0.033676,-1.319867,1.068955,1.082567,0.087492,-0.364144,-0.794032,0.336734,-2.002265,-0.503309,0.673326,-0.700805,-0.260843,-0.938075,-1.795407,0.144139,-2.324977,0.78666,2.276933,class0,cluster2
1512,0.772873,-0.261235,-0.719668,-0.60706,0.799151,1.746917,1.428735,-0.909263,0.36795,-1.672907,1.301265,-1.426256,-0.94026,-1.274282,1.569894,0.484289,-0.253624,0.570505,-0.590385,-1.557716,0.74074,0.039053,-0.405323,2.220121,0.564355,0.360137,-1.952443,0.239058,1.272206,-0.119166,1.440945,0.133258,0.586066,0.378774,0.362216,0.003409,1.376672,1.359075,-1.060118,class1,cluster2
1513,0.537641,1.439036,-1.068312,1.093212,1.124314,0.450052,-0.147464,-0.681993,-1.011722,1.018306,-0.695411,-0.673903,-2.34747,1.301944,-0.744807,-1.560939,1.122757,0.769177,-0.316767,-1.364237,1.508578,-2.131485,1.705819,0.203528,-0.423702,-0.327791,-0.394827,1.722026,1.865337,-0.718747,2.15097,-1.306569,-0.042399,1.067989,-0.245608,-0.320849,-0.952137,-0.411916,1.455285,class1,cluster1
1514,-0.993797,-0.388244,1.538766,0.160296,0.299648,-1.803939,2.231335,-1.551558,-1.128142,-0.009735,-0.317964,1.210492,0.098002,0.973753,0.452755,0.724048,0.766155,-0.290999,-0.323702,0.249597,1.606366,-0.060235,-2.0851,1.160603,-0.720713,-0.328381,0.467602,-0.735414,-0.274409,-0.251567,-0.885052,1.15855,-2.366172,-1.670294,-0.831355,1.363296,-0.533009,0.073917,-4.474193,class1,cluster0
1515,-2.18563,-0.405669,0.459091,-0.91577,0.318053,0.266015,-0.853835,1.034153,-0.782546,0.825871,-0.270819,1.289494,-0.785421,-0.75689,1.744666,1.193475,-0.846082,-2.205987,1.093445,-0.171383,-1.89815,-1.304147,1.761937,-0.089513,-1.891347,-0.494031,0.909566,2.445035,-0.326947,0.280794,-0.442078,0.114762,-0.315759,-0.232709,0.831593,0.506702,1.500338,1.505585,1.758465,class1,cluster2
1516,-0.100572,0.308447,-0.134964,0.01697,-1.298468,1.715972,0.66881,-0.891141,-0.689845,0.425149,-0.00695,-2.510887,-1.081194,-1.207128,-1.48294,2.295388,2.328646,-0.807061,-0.404161,-0.185419,-0.308556,0.273742,-0.014092,-0.675933,-0.90279,0.915939,0.124423,-0.974893,-0.680426,0.600837,0.132594,-2.146545,0.926381,-3.768651,-1.21087,1.05992,-0.295903,-0.349948,1.392017,class0,cluster2
1517,0.027897,0.002401,0.472776,0.314376,-1.515201,1.188422,-0.913058,-1.869779,0.489829,-0.833303,0.927908,0.300067,0.4674,0.664832,0.770311,-0.194529,0.320244,0.176471,-0.805184,-0.816101,1.502696,1.667606,-0.35539,0.246497,-0.327096,-0.859723,-1.756268,0.693516,0.574067,-0.089893,0.21051,-0.672456,-0.476278,-0.583538,0.511954,1.440532,0.037598,-2.199642,-2.475807,class1,cluster0
1518,-1.085974,1.552053,0.812183,-1.050344,0.35841,1.369778,2.088194,0.94173,-0.125333,0.868355,0.733218,-0.111833,0.422305,-0.467109,-0.631693,1.463475,0.614636,-0.274488,-0.24341,0.147688,-1.256596,-0.403557,0.040824,0.969601,-0.20537,0.301157,-1.637436,0.327886,0.219772,1.606809,1.148304,0.340801,0.619705,-0.749107,-1.145772,0.861532,1.969712,-1.03937,2.464905,class0,cluster2
1519,-0.690029,-1.265293,0.563309,0.504766,-0.924285,0.775075,1.026863,-1.654234,0.336444,0.431319,0.069921,-1.774753,-0.91475,0.106287,0.030177,0.067628,-0.638625,-0.840677,1.26999,-1.967069,1.324756,-1.164335,0.60765,0.143737,-0.349043,0.428332,1.124301,0.054753,-3.332159,-1.120545,-0.18219,0.158865,-1.549422,-0.126813,0.675881,-0.518878,-0.748163,-1.827612,0.920989,class1,cluster2
1520,-0.569469,-1.134058,-0.66645,-0.445817,1.316871,1.180411,-1.015054,-1.567603,1.267456,1.056519,-0.118654,-3.253186,-0.108787,-0.292037,-0.152195,0.360141,-0.3055,-0.823267,0.272097,0.72448,0.052254,-0.445483,-0.283305,-0.371933,0.084752,0.65341,-0.269376,0.944091,-0.057208,-0.113245,0.671563,0.919605,-0.395949,-0.809947,-0.072809,1.704778,0.288943,-1.338448,-0.763519,class2,cluster2
1521,-0.298029,-0.399785,-0.831663,-0.439615,-2.719205,2.042314,-1.349565,-0.356157,1.578026,-0.690318,-0.150975,0.331951,-0.158115,-0.854877,-0.977083,-0.072542,-0.946096,1.791336,-0.120894,-1.001834,1.020287,-0.521254,-0.335118,2.013694,0.789921,-0.00695,-0.350066,-0.426469,-0.682471,1.91141,1.739992,0.04117,0.090131,-0.192505,1.224024,-1.982205,0.441084,-0.847814,-1.896131,class2,cluster0
1522,-0.938609,-0.068183,0.493051,-1.086277,-1.287815,-0.160858,-0.061446,-0.914174,0.183247,0.7075,-1.573474,-0.373053,-1.611122,0.536656,-0.907261,1.050011,1.379536,0.784567,2.327722,-0.982132,-1.882787,-0.854296,-0.655017,-0.194431,-0.04181,0.677962,-0.184306,1.436645,-0.311398,0.181137,-0.576427,-1.98022,1.364034,-1.326165,0.651075,0.376442,1.232464,-0.74248,-1.787538,class1,cluster0
1523,-1.725439,-0.43298,0.581356,0.982676,0.092225,1.87753,0.870909,1.51543,-0.017149,0.896921,1.571159,1.166669,0.453498,0.895764,0.203706,0.564735,-0.013103,-1.449517,1.626014,-0.70266,-0.462981,-0.500947,1.493396,0.722492,-0.784834,0.912639,1.13492,0.068701,-1.546742,0.165568,-0.010889,-1.186681,0.422269,-1.319227,-0.094986,-0.154067,0.33256,-0.620028,-1.443214,class1,cluster0
1524,0.832345,1.059764,1.407744,-1.742966,1.187138,-0.157447,-0.042734,-0.807185,2.280373,0.192963,-2.413671,0.674979,-0.12642,0.327713,-1.433063,0.580037,1.360415,-0.621697,0.830897,-0.588561,-0.064106,-0.602329,-0.199588,-0.742354,0.208279,-1.32594,-0.332766,-0.867169,-0.126241,0.496851,0.643107,-1.513685,0.75745,-2.212256,1.497672,-2.247142,-0.270876,-0.241479,4.347537,class0,cluster2
1525,-0.201157,0.411935,1.805456,1.597995,1.084645,0.455996,0.090419,-1.137188,1.536037,1.809002,0.078318,0.036607,-0.469386,0.499949,0.919579,0.9257,0.743496,0.64662,0.755899,-0.060843,-2.310505,-0.39838,-1.055407,0.090767,0.276147,1.053159,-0.124854,-0.655582,0.576242,0.337442,-0.858842,0.058638,0.736576,-1.447901,0.392152,0.469253,2.584603,-0.082024,1.588472,class1,cluster1
1526,-0.329745,0.750737,0.736773,0.015821,-1.949865,-0.720213,-2.616834,-0.929477,0.697355,0.726381,2.312951,-1.290366,0.887627,-0.186239,-1.14007,-0.889567,0.053989,-1.837948,-0.580895,-0.730283,1.977704,0.984854,0.271555,-0.289819,-0.73528,0.127475,-0.89794,-0.224511,-1.855089,0.85298,1.601965,-0.253772,1.217256,1.243064,-0.665024,0.658433,0.326434,0.419034,3.271872,class0,cluster2
1527,-0.578401,-1.784136,-0.807831,-0.496624,-0.642117,1.207268,0.290028,-0.185321,1.284628,-0.648758,0.931333,1.303599,-0.217576,-1.210364,0.283918,-0.536356,-0.331678,-1.284176,-1.264338,1.028888,-0.831875,-1.088699,0.002095,-0.203188,-0.18789,0.77294,1.551422,-0.155045,-1.003592,1.576371,-0.650116,1.047032,-0.172192,0.114438,0.805367,-0.212297,0.573154,-1.349885,4.067193,class0,cluster2
1528,2.192869,1.034715,-0.413546,1.854786,1.491791,0.201621,-0.67995,-0.863835,-1.390575,-0.849879,0.241255,-0.41997,-0.684094,0.329715,0.818477,-0.431711,-0.797551,-2.299931,-0.224193,-0.703381,0.358138,-0.14407,-0.109793,-2.069324,1.175768,-0.855797,-0.18222,-1.394393,0.810731,0.538023,1.084101,-2.756165,-0.952369,-0.335316,-0.490428,0.398462,1.357528,-0.282363,-6.107068,class2,cluster0
1529,-0.279831,0.174487,0.214828,0.253797,-0.300878,-0.738916,1.32963,-1.058379,0.781576,-1.409904,-0.495149,0.998918,0.581537,1.155322,-1.048276,-1.096195,-0.024615,0.439869,-1.258071,-0.981522,-0.74036,0.987858,-1.016684,1.008288,0.058904,-1.62511,0.33572,-0.701748,-0.283464,0.869837,0.185214,-0.42162,-1.054461,-0.651069,-1.23321,0.307718,0.738486,0.675965,0.5512,class0,cluster2
1530,0.326843,-0.802672,0.628217,1.361633,0.708455,1.971392,-0.292892,-0.263284,-0.740503,-1.676047,0.881762,0.108367,-0.756505,-1.734626,1.062972,0.207515,-1.217655,0.322876,1.789874,1.307052,-1.522804,1.232137,-0.516991,-1.501439,-0.353732,-0.463676,0.953058,-1.69663,0.768926,0.839106,0.692068,0.295176,0.562007,0.978063,0.028529,-0.218569,-0.517991,-1.213238,-0.709716,class1,cluster2
1531,1.159079,-0.166901,-1.448308,0.395328,-0.439908,-0.385805,-0.018981,-0.605632,-0.325237,0.248456,2.233411,-1.807771,-0.198135,-1.322824,0.957766,1.504046,0.223329,-0.059112,-0.247669,0.96568,-0.537093,-0.811758,-1.334447,0.435371,0.694547,-1.801325,-1.287375,0.553783,-1.409491,-0.425524,0.735762,-0.422448,-0.164225,0.449986,-1.679445,1.767617,1.532321,0.048814,3.229443,class0,cluster2
1532,-0.731215,0.360582,0.945925,3.033168,1.410131,-0.312133,-0.519561,-0.01115,-1.148847,0.027604,-0.94787,-0.292471,-0.30806,1.103959,-0.742503,-0.647348,-1.72995,-1.454639,-1.668365,1.060299,-0.902735,-1.584809,-0.744942,-0.051183,-1.488227,1.261928,0.488371,-0.401395,-1.860404,-1.467691,-0.26655,1.448839,-1.557125,-0.518321,-0.307591,-2.155019,-1.236368,0.266958,0.526431,class2,cluster1
1533,0.895456,0.880665,-1.396269,1.965579,0.037522,1.585587,-0.851569,-0.385315,0.479592,-0.824793,-0.758675,-0.513855,1.804436,-0.724598,-1.336616,-0.02224,0.101736,-0.053451,-0.480486,0.53889,-0.29443,-0.999089,1.229871,-1.646629,-0.546545,0.072346,-0.230305,0.780274,0.663384,-1.559184,-0.492088,-0.85288,-1.617807,-1.982655,-0.836619,0.074142,-0.040696,0.178207,2.857824,class0,cluster2
1534,-0.080972,0.743521,0.311635,0.761901,0.705042,-1.636463,0.218711,1.510102,-0.43387,0.27472,0.035333,-1.724229,0.684254,1.265411,-1.759611,-0.456664,-0.418741,-0.618696,0.590278,-0.596985,-0.110906,0.075203,0.562511,-0.357447,0.256869,0.730574,0.014664,-1.154628,-0.804262,1.249163,-2.473386,-1.512813,0.723954,1.366897,0.383733,0.20631,-0.059201,-1.021731,0.894141,class2,cluster1
1535,-0.900049,0.268698,-1.233457,-0.236962,-1.838517,-1.253898,0.649275,-0.092995,1.249663,-0.170088,1.399225,0.565805,-0.425754,1.369916,1.463138,0.058906,-0.763247,0.674262,0.097371,-0.006488,-1.246951,0.987288,-1.760367,-1.12213,-0.957247,1.072139,0.702333,0.317307,0.843774,0.323338,-0.573446,-0.70516,0.354772,-1.172178,-1.568962,0.039801,-0.651528,0.510449,-2.641713,class2,cluster0
1536,0.1109,-0.117387,0.123694,-0.292283,-1.377947,-1.478819,0.254855,-1.474606,0.164507,-1.873358,-1.223001,0.34944,-0.187851,0.068319,1.19029,1.564768,1.461409,2.465019,-0.232637,-0.91459,-0.008082,0.258671,0.014964,1.445113,-0.90719,2.710024,-0.819263,-0.975798,-0.063873,0.982379,-1.069123,1.254137,-0.278621,0.025313,-0.742888,-0.483137,0.255826,1.271991,-1.780545,class2,cluster1
1537,0.73433,0.802283,-0.72517,-2.097773,0.274542,0.666529,0.046121,0.656078,-2.94089,-1.519543,0.068085,0.675797,0.865612,2.142763,0.508526,-0.49074,-1.090287,-0.583049,0.418088,1.132555,-1.286518,0.976364,-0.652932,0.264755,0.467182,0.60438,-0.57841,1.075627,-0.053174,0.299012,0.569397,3.027297,2.416552,0.660139,-0.775649,0.249263,-1.007633,0.46321,0.502962,class2,cluster1
1538,-0.85244,0.874495,1.123645,-0.003112,0.478214,-0.063958,-0.834342,-2.630785,1.148856,0.856852,0.550338,0.337389,1.798029,0.783931,-0.352533,-0.108212,0.169585,1.04421,1.689741,1.888344,0.283056,1.225016,-0.861708,0.005775,1.094091,0.758776,-0.341376,-0.420532,-1.030933,-0.993155,1.390694,-0.756887,0.078014,-1.416698,0.089096,-0.073592,1.768684,0.757149,0.801851,class2,cluster1
1539,-0.101374,-0.565204,-0.786514,0.832811,-0.179735,-0.285552,-0.181837,1.366483,-0.331692,1.277569,0.386017,0.025714,0.955508,0.477737,1.850463,1.165026,-1.149428,-0.53186,0.59704,0.370498,-0.315513,2.213199,0.345583,-0.061511,0.11789,-1.40802,1.658037,-0.211785,0.39076,-0.999237,0.313388,-0.977823,1.058912,-0.649967,-0.783599,-1.739692,-0.123755,-0.611545,2.779763,class0,cluster1
1540,0.057238,2.761624,-0.464685,1.212328,0.527799,-2.577991,0.571965,-0.441433,0.833733,-0.000646,0.716012,0.616144,1.728514,0.079157,0.782356,0.021432,-0.51805,1.067215,-0.7811,-0.532511,-1.831333,0.12768,-0.305731,0.214986,-0.090334,1.243737,-0.107771,0.66012,0.61087,-0.002355,-0.468916,-0.803607,0.72446,0.329117,-0.049674,-0.849599,-0.178026,1.04539,3.046828,class1,cluster1
1541,0.246261,0.983725,-0.797937,-0.384982,-0.606375,0.318502,1.351175,-0.422717,-1.301981,-1.354904,0.9979,0.63303,1.899747,-1.931024,1.017496,-0.501268,-0.968018,1.025551,-1.89351,0.803797,-0.811457,1.21467,-1.319054,-0.400351,0.244549,0.851988,1.072054,-0.807509,1.320219,0.263067,0.161641,0.092597,0.109934,1.598496,-0.265537,0.665941,-0.913303,1.322213,-5.06951,class2,cluster0
1542,0.90129,-0.492728,0.878128,0.968342,-0.225073,-1.308911,-0.699472,0.189491,1.420486,-2.264456,-1.130905,0.207288,-0.611406,0.104743,0.446413,1.012848,0.175499,-0.473919,-1.235467,-1.024677,0.824074,-0.313416,-0.864038,2.251478,-0.981849,1.744903,-1.834741,1.825304,-2.136026,0.522813,0.826526,0.45426,-0.460221,-1.164934,-0.45415,0.775575,-0.406637,0.498696,0.005716,class1,cluster1
1543,1.046748,-0.79874,-0.963937,1.051827,0.40985,0.15827,-1.535067,-0.64095,1.512315,1.374375,1.509779,-0.605451,0.514593,0.645559,0.953274,-1.971658,0.690473,0.952636,0.483686,1.279074,0.1267,1.696338,-0.008076,0.046004,1.570141,-0.91145,-0.390563,-0.040122,0.326079,-0.09898,-0.689325,-0.464894,0.233853,2.05938,-1.262657,0.919685,0.277562,-2.137073,-0.316878,class1,cluster2
1544,0.754447,-1.408297,-1.070001,1.51195,-1.094323,0.587991,-0.703604,0.36226,-0.234214,1.8788,0.699941,-0.316597,-0.641881,-1.194993,-0.719712,-0.850284,-1.715909,0.460126,1.121561,0.421529,0.182045,-0.37321,2.132615,0.588494,0.366547,-0.216076,1.360968,0.267891,0.136449,0.167646,-1.479177,-1.719521,-0.127832,1.247781,-0.281986,0.475012,1.979043,-1.437162,0.678032,class2,cluster2
1545,-0.751316,0.351958,-0.985365,0.639904,0.61301,0.759246,0.813001,-0.063908,0.161536,-0.044061,0.873932,0.228236,-1.169443,0.740119,-0.579862,-1.207279,-0.264544,-1.306383,-0.507681,-0.627129,0.024991,-1.767524,-0.279731,1.46659,0.930794,-0.079648,1.360077,-0.677114,-2.413768,0.505645,-1.857779,1.215885,1.634042,0.197213,0.12472,-0.061936,-1.345621,-1.414357,-0.999209,class1,cluster2
1546,-0.71981,1.483764,-0.214919,1.628719,-1.505034,-1.26957,0.106108,1.327299,-1.842113,-0.564886,-1.194329,-0.778728,-0.273074,0.248209,-0.670513,-0.848264,0.623749,-0.504833,-0.587082,0.2184,0.668563,1.288466,0.607741,0.798349,-0.374234,0.12782,-1.152836,0.835426,-0.656476,0.575578,-1.997314,-1.605448,-1.958639,2.07514,-2.129901,0.54472,0.30604,1.068983,2.841548,class0,cluster1
1547,-0.334603,0.926174,1.325674,-0.663702,-0.449329,-1.044644,0.573871,-1.180269,-0.59476,-0.919477,0.365635,0.047829,0.772669,0.028758,-1.291511,0.245466,0.775187,-0.223663,-1.197509,-1.233182,-0.047896,1.444455,-1.587544,0.022499,-1.508427,1.275435,-0.190151,0.183808,1.367095,2.136719,-0.284094,0.641072,-1.02661,0.557676,0.989046,-0.909244,-1.55404,0.460766,2.581898,class0,cluster1
1548,0.043184,-0.113589,-0.529634,0.019778,-0.033371,-0.773537,-0.63607,1.972474,0.410477,1.735583,-0.256975,-0.811599,-0.447162,1.526562,0.58784,0.465674,-0.8275,1.009342,0.078439,0.105795,-2.246973,0.16528,-0.685097,1.137838,0.507778,-0.441762,-1.887099,2.035351,-0.260342,1.193237,-0.303444,-1.018273,0.267821,-0.31952,-0.018057,-1.037043,-1.245482,0.769277,2.098881,class0,cluster1
1549,-0.684436,1.008139,0.243846,1.267296,0.339368,0.347218,-0.739758,-0.389203,-0.392672,0.583308,0.684107,0.128652,1.859469,0.726677,-0.903176,0.890564,-1.5771,-1.107947,0.225991,-0.928727,1.416486,2.810862,0.550225,0.511025,-1.410064,0.76142,1.156366,0.579732,1.369242,0.157233,-0.236021,0.503035,0.257295,-0.675917,0.278312,1.732599,0.245216,-0.785219,1.79353,class2,cluster1
1550,-0.054475,0.098487,0.860831,-0.286736,0.384656,2.251634,1.260454,0.724113,-0.414114,-0.716978,-0.496267,0.646886,0.385765,-0.732662,-0.512644,0.412508,1.10915,-0.597801,-0.388516,0.056699,-1.523123,-0.629584,-0.759293,0.688529,-0.919306,-0.776267,-0.736222,-1.305744,0.145169,0.024081,-1.297153,1.821557,0.140106,1.156897,0.052249,0.134507,1.545334,-0.426181,2.652653,class0,cluster2
1551,-0.055158,0.036794,-0.083856,0.692954,-0.155203,0.164516,-0.542992,0.163276,-0.534364,-0.018232,1.102132,-0.102682,-0.019901,-0.873199,1.065856,-0.359922,1.274173,-0.67069,1.503331,0.995904,-0.235829,1.331783,0.978185,-1.071972,1.176964,-0.612677,1.272399,-0.065068,-1.051936,-0.993265,-0.274345,0.023478,1.994563,-1.702097,-0.301744,1.034431,-0.097202,0.825771,-3.971183,class1,cluster0
1552,-0.210629,-1.367722,0.08852,-0.63197,0.615194,-0.316953,1.904291,-0.43178,-0.571885,-0.048425,0.866516,0.672563,0.274087,0.767998,-0.318094,0.445897,-1.545233,0.309032,0.287973,-0.627136,1.276264,0.148016,-0.810655,-2.509188,1.595112,-0.989241,0.501164,-1.507011,-0.639247,0.398503,1.09706,-0.111983,1.289462,2.029455,-0.442195,-0.962031,-0.539869,1.620014,-1.556172,class2,cluster0
1553,1.765072,-1.056164,1.239605,0.958277,-0.968519,-1.616295,0.609136,-0.224665,0.488338,-1.106243,0.523525,0.396585,-1.203846,0.964819,0.700562,-0.017345,0.934739,-0.886712,0.134777,-2.228066,-0.194402,0.934776,-2.76534,0.867899,0.444843,-0.175853,-0.66257,-0.801784,1.022206,0.452518,0.296894,-1.303349,-0.97927,-0.211454,-0.078512,0.673963,0.887787,-1.431621,-3.298409,class1,cluster0
1554,0.702122,0.027458,0.26397,-1.73229,-1.125682,-0.791092,0.34093,0.231101,-1.289207,-2.563476,1.174915,2.045054,0.350286,0.70145,0.304881,-1.398558,-0.816394,-0.853777,-0.328562,-1.981349,0.497328,0.444601,0.356511,-0.001786,0.973635,-1.442911,0.174942,1.495206,0.681434,0.595696,-0.17094,1.651199,-0.218999,0.922358,-0.052861,-2.067489,1.097357,-1.04507,0.261396,class1,cluster2
1555,-0.271723,-0.563911,0.949506,0.566104,-0.870986,-0.085127,-0.215517,0.56276,0.63655,-0.779353,-1.30272,-0.593291,1.226651,-0.332567,-1.368701,-2.230011,0.484488,-0.736147,-0.619579,1.659168,0.282456,-0.137305,-0.505973,-0.792162,2.677838,0.908991,-0.199808,1.146342,-0.141976,-1.709398,0.784191,0.813798,1.631662,-0.094409,-0.290286,-1.484899,-0.019247,-0.768894,1.012927,class1,cluster2
1556,0.103677,0.010292,-0.933485,0.375424,1.268881,0.96282,-0.864449,-0.407806,0.023021,-0.15618,0.058103,0.15927,-0.509595,-0.333321,-1.578379,0.468785,0.655153,-1.866571,0.172702,0.344598,-0.547797,0.176967,-0.469411,-0.111974,-0.70736,1.402896,1.831391,-1.081316,0.747068,0.112588,0.841537,0.493589,0.422061,1.220943,-0.617083,1.200762,0.094965,-0.977792,-1.620018,class1,cluster0
1557,-0.30838,-0.83837,-0.059124,1.30249,0.165335,0.310755,0.520057,-1.119181,0.049612,1.333853,-0.361107,1.076099,0.391476,-0.113668,0.986661,0.394086,1.105729,0.795875,0.960833,-0.971527,-0.946316,0.766764,0.810889,2.226322,0.463411,1.163934,-1.378634,-0.867148,0.936084,-1.897646,-0.90858,-1.390311,0.48212,0.250178,-1.930511,-0.163093,0.584238,-0.024381,-0.814204,class1,cluster0
